#{"t_start": 1765489099.0163326, "env_id": "None"}
r,l,t
-85.404102,800,159.337583
-268.028154,800,159.735252
-19.392701,623,160.019537
-212.307478,800,161.548488
-186.192766,800,161.908789
-242.144268,800,163.415707
-30.769587,800,163.786052
-167.34753,800,164.138408
-96.296386,562,165.591589
-169.513211,800,166.048351
-311.929617,800,166.566313
-59.765504,490,168.186504
-129.673916,800,168.559844
-241.955848,800,168.913468
-177.683347,800,170.372132
-367.893913,800,170.714682
-37.353024,800,172.512766
-213.977321,800,172.897651
-155.563349,800,173.22939
-84.425855,800,174.779935
-181.852276,800,175.188262
-107.273855,800,176.83957
-97.902119,800,177.257735
-199.062555,800,177.914382
-244.172102,800,180.045299
-138.304418,800,180.482539
-181.199629,800,182.248257
-312.990513,800,182.76604
-79.97583,800,183.245768
-149.585967,800,185.095788
-3.15316,800,185.571697
-319.237548,800,186.014394
-158.173579,800,187.637398
-120.727449,800,188.025292
-86.59577,800,189.900729
-49.819806,713,190.286129
-135.223205,800,190.646348
-160.618111,800,192.17387
-153.013936,800,192.535608
-61.881545,800,194.143335
-82.072643,800,194.540549
-13.796111,773,194.905909
-300.160986,800,196.58991
-625.753819,800,196.97319
-110.590412,800,197.324739
-79.223317,800,199.095701
-93.787834,800,199.439919
-489.028405,800,201.009014
-352.925623,800,201.373279
-37.131806,800,201.727469
-206.364278,800,203.142102
-86.94448,800,203.481936
-155.039969,800,204.902932
-188.007074,800,205.302824
-146.332211,800,205.713592
-231.179192,800,207.304125
-399.363502,800,207.752958
-44.324822,800,209.420503
-361.50382,798,209.873402
-130.919836,800,210.316534
-214.14029,800,211.974057
-5.265886,270,212.113551
-110.384661,800,212.700515
-44.180406,800,214.439813
-200.821874,800,214.791316
-52.959042,800,215.148273
-56.317787,800,216.838655
-77.235507,800,217.42941
-160.533441,800,219.091963
-42.620228,561,219.393781
7.895134,504,219.611464
-6.160865,401,219.793474
-90.99245,800,221.702932
20.070704,387,221.910969
-72.17028,800,222.321656
-234.458519,800,224.111598
-155.01884,572,224.397497
-103.38151,800,224.756162
-43.406033,800,226.26765
-107.496998,800,226.622979
-73.812785,800,228.018568
-17.821175,318,228.205445
-259.711939,800,228.585668
-24.724807,800,228.970583
-274.259687,800,230.525593
-90.479872,800,230.902017
-142.659344,800,232.513771
-196.744806,800,232.914716
-17.328294,301,233.060383
-116.167776,800,234.541666
-70.422239,800,234.909484
-205.283524,800,235.259644
-10.654597,231,235.380698
-76.322546,800,236.960648
-121.082412,800,237.433634
-138.48063,800,238.961125
-27.512385,267,239.082041
-26.102309,324,239.221827
-178.585482,800,239.57333
-146.65441,800,240.97587
-186.196197,800,241.334689
-75.628575,800,241.679574
-168.868786,800,243.075277
-105.153336,800,243.410455
-32.265688,800,244.770967
-120.521503,800,245.117832
-22.131696,219,245.208483
-231.40394,800,247.328515
-216.849103,800,247.777618
-206.765814,800,248.152923
-148.061309,800,250.498806
-53.581897,800,251.153462
-113.606926,800,251.609826
-312.592264,800,253.646407
-103.014455,800,254.041779
-130.04333,800,255.757737
-115.983486,800,256.208413
-49.652753,800,256.631577
-35.580224,800,258.898961
-251.549059,800,259.32248
-94.321492,800,260.901876
-74.629513,800,261.291414
-103.091885,800,261.633223
-119.701148,800,263.342644
-113.845931,800,263.796083
-186.314916,800,265.301437
-41.805134,800,265.659186
-94.063717,800,265.995605
-104.674069,800,267.814941
32.704835,453,268.170547
18.467007,453,268.52095
-82.133461,800,270.221346
-58.339541,800,270.594411
