#{"t_start": 1765489099.0163326, "env_id": "None"}
r,l,t
41.169494,800,878.126765
-31.750975,800,878.495735
-28.929937,800,880.036975
65.094156,800,880.426137
31.954325,800,880.797106
-1.341106,800,882.331069
-56.886113,800,882.725339
-52.069096,800,883.085353
-9.735585,800,884.644296
-68.590872,800,885.053189
19.491597,800,886.655162
-36.007489,800,887.095271
2.958727,800,887.486003
25.878307,800,889.066039
-4.404754,800,889.472011
-10.48822,800,891.243477
34.687167,800,891.706973
-39.082735,800,892.141087
-8.693705,800,893.832867
-23.897201,800,894.263478
22.790815,800,895.748633
44.749881,800,896.151983
-5.151492,800,896.536122
18.865907,800,898.12591
-20.029534,800,898.476983
-16.403567,800,899.906142
-55.434553,800,900.334969
-45.184702,800,900.703988
1.299526,800,902.25805
-2.175943,800,902.61885
-13.161939,800,902.986663
57.807935,800,904.526901
-11.532468,800,904.879913
-35.434946,800,906.384579
22.686888,800,906.73912
-53.943574,800,907.136073
-1.658346,800,908.599777
20.934721,800,908.955309
-99.680943,800,910.602256
-6.327003,800,910.981285
-21.168543,800,911.387991
29.513984,800,913.169346
-29.111333,800,913.582467
-29.471068,800,915.324488
38.978458,800,915.98197
-22.23529,800,916.60472
16.871251,800,918.359971
20.058149,800,918.803879
-3.153725,800,919.249751
14.988634,800,921.075224
-24.51218,800,921.602721
-23.044848,800,923.650838
-37.960597,800,924.136482
-37.535735,800,924.600643
12.575546,800,926.16128
-41.422275,800,926.554074
-11.038207,800,928.015575
-31.277528,800,928.429209
26.561963,800,928.950769
13.823209,800,930.797614
0.040128,800,931.225588
-50.439578,800,933.005361
-9.399114,800,933.486664
-24.067671,800,933.877039
20.717747,800,935.395744
0.449439,800,935.784016
-21.593778,800,937.243331
-34.727794,800,937.644318
-50.702737,800,938.009529
-21.193586,800,939.679579
-12.835797,800,940.103361
28.66285,800,940.512049
1.132143,800,942.082136
-45.192935,800,942.457381
-86.421054,800,944.235504
-11.173499,800,944.630349
-8.103222,800,945.11912
8.085726,800,946.611272
-58.865605,800,946.950984
14.117895,800,948.520789
15.784001,800,948.897333
-13.347434,800,949.262715
30.807128,800,950.736677
4.572324,800,951.178335
34.467395,800,953.384703
21.931206,800,953.985195
-64.100663,800,954.457864
3.339506,800,956.160804
54.512842,800,956.599907
-74.39723,800,958.265435
-10.359256,800,958.717989
-17.661406,800,959.287434
-3.566635,800,961.198004
-54.599076,800,961.649712
-28.322675,800,962.080892
20.451344,800,963.850805
22.155586,800,964.252057
11.796048,800,965.827011
14.046365,800,966.231211
-2.691538,800,966.682818
10.387992,800,968.308544
6.352964,800,968.729006
-15.637664,800,970.34564
-3.041981,800,970.727769
7.59694,800,971.188026
-4.469616,800,972.775285
-33.888408,800,973.240609
-8.948411,800,974.865555
-12.232214,800,975.268766
-44.662576,800,975.636853
-32.10382,800,977.182193
-8.523042,800,977.56422
-18.326106,800,977.95779
-140.073014,800,979.477136
27.939925,800,979.826892
40.513935,800,981.353307
25.449285,800,981.718672
-14.025297,800,982.092993
-27.148026,800,983.617827
-10.248771,800,983.988907
0.943852,800,985.433457
-13.227813,800,985.811376
-25.498644,800,986.335894
18.511426,800,987.82024
-53.735927,800,988.192124
22.587145,800,990.422857
8.514068,800,990.848878
45.526929,800,991.295153
-28.968634,800,992.868776
-104.981889,800,993.294211
-54.553856,800,994.831223
-5.02112,800,995.245976
-53.694042,800,995.60459
-16.088613,800,997.03415
-30.820293,800,997.744491
-72.340591,800,998.278459
30.69105,800,1000.656902
-21.144317,800,1001.110164
-62.968648,800,1003.002965
-43.918206,800,1003.405258
33.795022,800,1003.896885
-24.044298,800,1005.8517
26.373289,800,1006.29121
-26.21105,800,1007.780453
39.100234,800,1008.197691
21.202496,800,1008.581644
19.295961,800,1010.530965
13.190186,800,1010.944016
-47.447883,800,1012.559872
17.045692,800,1012.959857
7.904096,800,1013.375862
23.100705,800,1014.986538
-27.024649,800,1015.638734
36.281316,800,1017.334961
34.254708,800,1017.794424
14.42282,800,1018.243975
-26.663481,800,1019.933753
-30.545645,800,1020.351626
-64.302881,800,1020.719878
15.181874,800,1022.215058
-9.643797,800,1022.630066
9.165798,800,1024.232178
-58.735838,800,1024.655364
-11.092777,800,1025.042583
18.078493,800,1026.69781
0.228877,800,1027.105857
3.028753,800,1028.670338
4.039242,800,1029.070087
54.220659,800,1029.460217
-172.273444,800,1030.926844
36.577317,800,1031.287713
-173.78435,800,1032.904147
22.52076,800,1033.283822
45.753137,800,1033.618392
-2.703656,800,1035.192119
-4.890724,800,1035.583817
22.716616,800,1035.951123
-38.815072,800,1037.474609
-20.560234,800,1037.845455
-94.22804,800,1039.323486
-22.150254,800,1039.687958
-20.074639,800,1040.035553
-1.774707,800,1041.542903
-5.667002,800,1041.900855
3.696669,800,1043.353554
29.894999,800,1043.768655
1.64964,800,1044.193892
31.411463,800,1045.82955
-126.760083,800,1046.20089
-0.887922,800,1048.32708
51.442305,800,1048.806792
-19.826824,800,1049.273265
-20.100445,800,1051.235003
7.606729,800,1051.667139
24.263209,800,1053.192338
-15.651757,800,1053.842562
-14.674273,800,1054.35064
-49.950176,800,1056.609693
-9.39786,800,1057.215465
4.276904,800,1057.913453
-47.539778,800,1059.810156
-17.611712,800,1060.331956
-34.259581,800,1062.305158
32.275916,800,1062.728442
1.759169,800,1063.117543
-12.867502,800,1064.724733
-51.560847,800,1065.197399
18.235515,800,1066.957272
-76.777096,800,1067.528212
16.159092,800,1068.008849
2.69329,800,1069.587863
-8.657804,800,1069.965898
-8.668863,800,1071.557552
20.173268,800,1071.985286
3.654007,800,1072.386513
-13.698861,800,1073.890552
-42.993017,800,1074.235166
-85.416861,800,1075.675763
-37.257809,800,1076.097779
-12.383481,800,1076.522821
13.325372,800,1078.092129
49.344929,800,1078.494845
-25.485681,800,1078.879889
20.169243,800,1080.487786
-30.774882,800,1080.863181
-24.567837,800,1082.648759
-31.604697,800,1083.11975
-30.890394,800,1083.614419
47.738442,800,1085.475874
3.000467,800,1085.956556
-44.720712,800,1087.73949
25.240657,800,1088.173896
-33.698919,800,1088.536942
-121.829147,800,1089.968371
-25.991843,800,1090.363276
19.082404,800,1091.841225
-37.039245,800,1092.256582
-1.546941,800,1092.610888
-33.092522,800,1094.059294
8.329441,800,1094.444256
13.016962,800,1094.84426
-10.272012,800,1096.298957
-20.810191,800,1096.649966
21.596385,800,1098.077325
-10.212141,800,1098.424658
-9.096864,800,1098.770046
-49.09472,800,1100.190256
34.58684,800,1100.54988
19.692154,800,1102.000745
24.789582,800,1102.357944
39.147173,800,1102.817881
47.469121,800,1104.281672
11.228115,342,1104.433635
-32.03129,800,1104.825265
14.103716,800,1106.32725
32.556547,800,1106.742812
-0.258929,800,1108.593635
-5.105072,800,1109.031712
12.390384,800,1109.412468
48.545423,800,1111.038514
-26.170937,800,1111.39923
-22.961555,800,1111.761546
16.519745,424,1113.166643
-2.875447,800,1113.601718
-19.606522,800,1114.093498
-38.061965,800,1115.794526
-6.895342,800,1116.214679
18.293405,800,1117.796832
-64.251121,800,1118.262882
-59.329058,800,1118.677882
22.973654,800,1120.761007
-3.478077,800,1121.421309
-25.213899,800,1123.366894
-12.553008,800,1123.79648
-38.844601,800,1124.287489
-14.917556,800,1125.754026
-21.192539,800,1126.106429
-19.832848,800,1127.518842
1.71107,800,1127.907792
20.414514,466,1128.129563
15.185938,800,1129.539546
-44.010548,800,1129.925049
-11.672815,800,1130.28511
4.618163,800,1131.726494
-53.757562,800,1132.069551
-32.031791,800,1132.409456
-20.937339,800,1133.925063
35.212157,800,1134.282693
7.020909,800,1135.988546
-16.564161,800,1136.436852
-14.914053,800,1136.852439
-6.482793,800,1138.43085
18.943126,800,1138.868569
24.642638,493,1139.10338
-26.212036,800,1140.70409
12.793211,800,1141.126672
-2.476886,800,1142.986667
-19.041889,800,1143.363025
19.708649,800,1143.734121
-10.499209,800,1145.413794
18.598222,800,1145.877539
-48.301337,800,1147.613242
-41.818488,800,1147.987413
72.315715,800,1148.35902
9.489438,800,1150.025148
-8.661262,800,1150.432425
74.652372,800,1151.88211
-16.665107,800,1152.326541
-82.558394,800,1152.833355
43.384972,800,1154.476891
14.755466,800,1154.916826
-30.882362,800,1156.541392
46.73284,800,1156.952072
19.79004,800,1157.407385
-5.479345,800,1159.001482
71.11313,800,1159.334592
-40.53269,800,1159.677379
76.937884,800,1161.170357
3.367443,800,1161.534574
17.39983,800,1163.210341
-7.294494,800,1163.567958
24.17034,800,1163.909078
27.91857,800,1165.379883
-50.509356,800,1165.72377
-36.003996,800,1167.629356
12.163324,800,1168.34192
-9.77549,800,1168.82086
36.599941,800,1170.662044
19.768749,800,1171.033253
-12.169796,800,1172.704797
50.98019,800,1173.142587
18.054608,800,1173.525261
9.969865,800,1175.145009
-33.662394,206,1175.231762
-4.038428,800,1175.664518
43.202028,800,1177.312116
16.047007,800,1177.802353
-77.499941,800,1178.295127
-32.220838,800,1179.880987
12.380148,800,1180.306778
12.132399,800,1181.868769
20.721801,800,1182.280966
-7.367577,350,1182.46504
-55.346347,800,1182.860827
-45.760928,800,1184.405205
47.197854,800,1184.772693
26.036011,800,1186.194845
3.618316,800,1186.539882
-21.256589,800,1186.892644
-13.746434,800,1188.315331
36.361108,800,1188.652056
-50.805134,800,1190.009781
27.796984,800,1190.403678
-34.562159,800,1190.756699
44.067606,800,1192.259809
-17.452733,268,1192.397183
3.7774,800,1192.927717
-27.136659,800,1194.765145
-24.306059,800,1195.312198
1.250755,381,1195.516416
28.926501,800,1197.083442
4.331294,800,1197.4298
50.641827,800,1197.770242
67.329115,800,1199.421544
-4.063456,800,1199.763335
11.188649,389,1199.926399
18.90307,454,1201.236482
-30.540749,800,1201.620304
-95.329136,800,1201.962673
-42.485624,800,1203.51199
-103.722784,800,1203.864568
-66.992405,800,1205.398523
-57.420341,800,1205.752693
-66.602474,800,1206.199135
6.15532,800,1207.851649
53.745647,800,1208.221047
17.959839,800,1209.85208
35.589555,800,1210.224927
-15.493366,800,1210.568951
20.787919,800,1212.202116
2.834907,800,1212.583525
-20.459906,800,1213.983789
29.915051,800,1214.378975
-36.688578,189,1214.459018
23.213319,496,1214.673906
20.589233,491,1214.894079
-19.720338,800,1216.488694
19.265683,800,1216.896382
-3.297531,332,1217.075588
21.808716,482,1218.57392
0.839247,364,1218.738435
-38.901516,800,1219.116639
-6.634552,326,1219.260603
24.867465,800,1220.756806
-4.746368,311,1220.901255
3.204937,356,1221.052653
14.289689,800,1221.43678
25.935609,492,1223.150431
-17.330371,800,1223.505362
54.715272,800,1224.914768
-27.287826,800,1225.297362
-15.421315,800,1225.668704
-16.477393,800,1227.311409
28.205869,800,1227.671462
7.661355,800,1228.090549
10.569004,800,1230.518355
-23.355655,800,1230.874068
6.402411,560,1232.212343
57.485986,800,1232.614862
10.235353,800,1232.958671
19.881015,800,1234.289635
-6.331969,800,1234.627578
69.152688,800,1234.965275
42.437208,800,1236.329146
-24.525379,800,1236.685608
